service_type,priority_score,is_walk_in,party_size,age_bracket,queue_length_ahead,active_counters,hour_of_day,day_of_week,rolling_velocity_mins,queuing_theory_baseline,actual_wait_mins
0,2,0,1,0,4,6,18,5,7.2,4.82,5.1
2,5,1,3,1,20,3,18,6,35.0,76.98,95.7
1,1,1,1,1,8,5,12,5,16.67,24.22,31.9
0,3,1,1,1,0,1,10,6,9.5,13.39,15.7
0,4,0,1,1,1,5,18,1,6.88,2.65,2.4
0,2,1,1,1,33,4,9,6,8.99,45.37,46.5
0,1,1,1,2,31,3,14,0,11.54,87.89,116.2
2,2,1,1,1,30,1,17,1,28.7,522.86,240.0
2,4,0,1,1,12,4,10,2,28.71,45.01,44.9
0,1,0,1,1,33,1,14,4,5.2,122.43,160.7
1,2,1,1,1,2,6,12,2,19.53,11.93,14.6
0,3,1,2,2,35,4,14,5,13.38,61.68,81.9
0,2,1,1,2,34,4,11,2,12.16,62.6,66.1
2,2,1,1,1,36,2,13,0,31.42,789.3,240.0
1,2,1,2,2,23,6,18,2,24.18,71.31,87.4
0,2,0,1,1,13,2,18,6,5.91,25.48,28.8
0,3,0,1,1,40,2,12,0,5.12,51.79,54.3
1,2,1,1,1,16,4,13,0,18.26,48.95,65.2
1,2,1,1,1,18,1,10,5,17.8,233.84,235.8
0,1,0,1,1,19,1,17,4,6.15,237.04,240.0
0,5,1,1,1,32,3,15,5,10.81,35.72,53.4
0,1,1,3,1,8,1,16,0,12.24,93.98,109.6
2,1,0,2,1,31,4,17,5,35.0,200.87,238.8
1,1,0,2,1,15,1,18,2,16.05,173.64,206.6
0,4,0,2,1,23,5,14,1,6.66,15.93,23.2
1,3,0,4,2,24,5,17,0,33.92,89.36,106.3
1,2,0,1,2,20,2,17,0,15.14,95.4,110.4
0,4,1,1,2,28,6,17,3,11.97,25.54,34.2
0,4,0,3,2,37,1,16,5,12.04,182.08,182.4
1,2,0,2,1,5,6,18,0,15.19,230.04,240.0
1,2,0,1,1,3,5,10,3,14.79,6.35,9.7
1,4,1,1,1,18,2,16,3,18.41,71.78,73.1
2,2,1,1,1,6,1,10,6,30.52,120.48,123.3
0,2,1,2,2,41,6,15,5,16.7,73.71,96.7
0,3,0,1,1,1,4,10,6,6.65,2.0,5.3
2,3,0,2,2,27,4,16,5,35.0,119.66,118.7
0,1,0,1,1,19,4,14,2,5.45,20.66,25.7
1,1,1,1,1,8,1,17,2,18.18,156.29,189.5
1,3,1,4,2,20,2,11,1,35.0,205.8,210.0
1,1,0,2,1,1,2,18,6,15.21,11.03,12.9
0,4,0,2,1,1,6,14,4,8.42,4.25,7.0
1,1,1,4,0,28,5,17,0,29.58,125.52,153.4
1,2,0,1,0,12,1,12,1,14.58,108.7,110.5
1,2,1,2,1,31,6,14,4,23.09,79.0,108.0
0,2,0,2,1,40,1,12,0,8.45,204.82,229.4
0,1,1,1,2,1,5,13,5,12.99,5.72,11.9
0,1,1,1,0,18,4,16,0,10.79,35.32,41.3
0,2,0,3,0,15,5,12,3,10.14,21.22,24.2
0,2,0,1,1,44,3,15,4,5.59,50.95,64.2
2,2,0,1,1,4,2,11,0,24.55,37.01,42.1
1,1,1,3,1,39,1,11,2,27.47,759.85,240.0
1,2,1,2,1,39,1,18,1,21.91,516.21,240.0
1,2,1,1,0,3,3,14,1,18.86,18.67,25.7
0,1,1,1,1,35,1,11,1,10.54,263.54,240.0
2,1,0,4,1,20,6,14,6,35.0,92.39,120.4
0,2,0,1,1,3,2,18,6,6.16,7.81,11.1
0,2,0,1,1,34,1,9,1,5.47,120.53,125.0
0,1,1,1,1,18,3,14,0,8.49,39.82,52.1
2,2,1,1,0,16,5,9,5,35.0,74.89,73.9
2,3,1,1,1,27,3,14,5,30.91,146.68,191.0
0,4,0,2,1,30,6,9,3,7.81,15.3,16.5
2,2,1,1,1,41,4,10,0,29.85,187.95,214.9
0,2,1,1,1,41,4,10,1,10.66,66.6,70.8
0,3,1,1,2,38,5,17,3,12.19,49.2,63.4
1,5,0,2,1,0,3,10,6,15.55,4.01,5.0
2,2,1,1,0,5,5,18,4,35.0,31.56,41.5
1,3,1,1,1,44,1,15,0,17.69,388.74,240.0
1,2,1,2,2,13,6,17,2,31.37,47.81,60.0
1,1,1,2,0,11,5,14,0,22.93,43.09,60.8
1,3,0,3,1,5,3,18,2,19.61,22.8,27.4
2,2,1,1,1,42,2,9,4,34.42,459.54,240.0
1,1,1,1,1,0,4,10,4,19.24,7.48,13.0
2,1,1,1,1,17,1,9,2,32.98,405.28,240.0
2,4,1,1,1,33,4,13,3,31.88,111.86,145.5
0,4,0,2,1,36,6,13,6,7.54,20.64,26.1
1,1,1,2,0,13,3,11,6,22.03,77.89,83.1
0,3,1,1,1,9,3,17,5,8.25,74.52,91.2
0,1,0,2,1,33,5,11,3,6.41,30.3,29.6
1,2,1,1,2,14,2,13,0,21.13,95.59,127.8
0,4,1,1,1,6,6,17,5,10.41,7.71,7.0
1,1,1,1,1,15,2,10,5,19.01,116.85,120.3
2,2,1,1,1,2,2,13,2,27.96,1746.88,240.0
0,3,0,2,1,42,3,18,1,7.15,51.7,63.7
0,3,1,1,2,32,3,13,0,12.54,70.21,91.1
2,2,1,1,0,19,1,18,1,35.0,409.55,240.0
0,3,1,1,1,30,5,15,0,9.79,32.56,45.8
0,4,1,1,2,23,3,10,1,10.31,31.92,32.1
0,2,0,3,1,19,6,17,1,9.68,22.41,27.6
1,1,1,1,1,20,5,13,6,19.28,61.61,84.1
1,2,1,1,2,39,6,10,1,21.9,89.42,94.3
1,3,0,1,1,10,6,17,4,14.45,16.75,24.8
0,1,0,1,1,23,5,10,0,6.71,21.97,25.8
1,1,1,4,2,31,5,16,6,34.05,149.5,152.7
1,1,0,2,1,22,5,9,3,16.02,49.93,51.3
0,1,1,1,2,40,2,16,4,12.48,177.2,199.8
1,3,0,1,1,22,6,17,3,13.76,29.28,35.6
1,1,0,1,1,25,4,18,5,12.05,56.83,70.0
1,3,1,1,1,32,4,17,0,19.55,83.66,98.8
0,1,0,2,1,3,1,16,4,6.91,18.69,24.8
0,5,1,1,1,6,4,18,3,8.82,6.49,9.4
0,2,1,1,1,1,6,14,5,9.46,4.39,11.4
0,1,1,1,1,3,1,14,6,9.6,25.4,34.9
1,3,1,1,1,4,3,15,6,16.68,17.5,24.0
0,2,1,1,1,2,1,16,2,8.73,13.73,17.2
1,2,0,1,0,45,6,9,3,13.49,61.58,61.4
0,5,0,4,2,4,4,15,3,12.32,8.52,15.2
0,2,1,1,1,9,4,10,4,9.06,13.19,18.2
1,3,1,1,1,27,1,13,5,17.14,232.79,240.0
0,2,1,1,1,36,4,16,1,10.81,59.27,63.9
2,3,0,3,1,23,5,16,6,35.0,83.14,81.1
0,1,1,1,1,28,6,9,1,9.02,29.66,36.2
0,4,1,2,1,12,5,9,5,13.58,13.3,14.3
1,1,1,1,1,25,3,17,2,19.51,119.8,140.7
1,2,1,4,1,10,5,18,4,29.06,44.27,54.4
0,5,1,1,1,40,1,9,3,8.91,104.85,107.0
0,1,0,1,0,16,6,13,0,6.94,17.14,20.1
1,1,1,1,0,33,5,10,2,18.48,90.68,92.5
2,2,1,1,1,8,5,16,4,35.0,35.6,40.7
2,5,0,1,0,3,2,11,3,34.51,44.64,43.5
0,3,1,2,0,20,6,13,1,13.61,28.67,39.0
2,1,1,1,1,44,2,12,3,30.49,480.02,240.0
0,3,1,1,2,39,5,18,2,13.39,56.61,72.6
0,2,1,1,1,30,4,18,5,8.86,43.44,55.2
1,5,0,1,1,1,6,15,6,14.25,7.17,11.1
0,2,0,1,2,7,3,12,3,7.16,12.3,14.0
0,2,1,2,1,20,1,16,0,12.73,158.17,180.9
0,2,0,1,1,22,1,17,3,5.36,71.93,88.5
0,2,0,1,2,2,1,9,0,6.62,10.78,12.7
1,3,1,1,1,18,6,9,6,19.14,30.41,35.4
1,1,0,1,1,31,4,14,6,14.49,84.05,111.3
0,1,0,2,2,1,1,12,1,8.47,8.81,8.6
1,2,1,1,0,45,6,18,0,19.46,92.78,110.5
2,2,1,1,1,9,4,9,4,29.45,41.05,46.6
1,2,1,2,1,19,4,14,0,18.62,58.63,81.7
0,1,1,1,1,20,4,18,0,9.43,61.01,75.2
2,4,0,1,1,31,1,17,5,31.7,390.48,240.0
1,1,0,1,1,17,2,15,3,12.42,78.71,101.5
0,4,1,1,1,24,2,16,5,10.59,51.22,53.1
0,4,1,2,1,18,5,10,3,11.18,16.28,24.1
0,3,1,1,1,1,6,11,1,10.57,2.0,4.1
1,1,0,1,1,40,1,15,6,13.89,394.2,240.0
0,1,1,2,1,32,1,18,0,13.39,304.52,240.0
1,5,1,3,1,1,3,16,3,28.69,4.83,5.1
0,4,1,1,1,6,1,16,6,8.71,38.93,39.2
2,5,0,1,1,34,2,17,2,23.81,136.47,161.8
0,5,1,1,1,36,6,10,4,10.62,19.72,22.2
2,1,1,1,1,19,6,13,5,30.53,78.58,102.0
2,2,0,1,2,9,6,11,3,29.84,27.21,30.1
0,3,1,1,2,18,1,18,5,10.12,93.36,116.3
0,2,1,1,2,8,2,11,5,11.16,30.42,31.8
0,2,1,2,1,24,3,17,0,12.33,64.84,79.4
2,1,1,1,1,33,1,13,4,32.39,760.71,240.0
1,1,0,1,1,34,1,10,5,13.95,347.13,240.0
0,1,0,1,1,35,5,11,3,6.39,32.53,31.0
0,1,0,1,2,41,3,10,5,7.73,78.41,79.0
0,2,1,1,2,1,5,18,2,11.52,5.13,9.0
2,2,1,3,1,2,3,12,2,35.0,26.69,29.2
1,2,0,1,2,11,1,12,0,16.75,116.35,131.2
2,3,1,2,0,1,6,14,6,35.0,15.52,24.1
0,4,1,2,0,37,5,11,2,14.55,42.94,42.5
0,1,1,1,2,5,6,14,6,13.55,12.6,18.7
2,1,0,2,1,23,1,18,6,33.36,550.11,240.0
0,2,1,1,1,24,4,15,4,10.06,39.66,51.8
2,3,1,1,0,23,4,15,5,34.79,109.17,144.4
0,2,1,1,1,20,1,18,0,9.73,139.05,166.5
0,2,1,3,1,21,5,11,0,15.91,44.16,50.4
1,1,1,1,1,12,5,12,3,15.85,33.15,32.3
2,2,1,1,0,20,1,11,2,32.8,403.04,240.0
2,5,1,3,2,17,3,11,0,35.0,76.77,91.5
0,2,1,1,2,19,4,18,4,12.35,39.2,50.8
0,2,0,2,1,3,2,12,0,7.58,349.31,240.0
1,1,0,1,1,34,2,12,6,12.26,150.66,153.6
1,1,0,1,1,5,5,9,6,13.73,10.53,14.6
1,2,1,1,2,45,4,16,1,23.49,162.02,162.5
0,2,1,1,2,34,3,13,0,11.13,79.31,101.3
2,2,1,1,1,10,2,10,6,30.26,102.17,104.8
1,1,1,2,0,12,4,13,1,27.57,66.78,89.1
1,3,0,1,1,14,5,18,5,14.47,28.21,36.9
1,1,1,1,1,29,4,9,0,18.47,94.95,109.0
0,3,1,1,1,31,1,13,3,8.25,130.01,171.3
2,5,1,3,1,14,6,15,4,35.0,33.81,44.7
1,2,0,1,1,26,3,16,3,14.34,76.03,74.8
2,1,1,1,1,5,6,14,0,27.76,26.58,37.1
2,3,1,4,2,17,6,17,6,35.0,60.49,73.6
1,2,0,2,2,42,6,14,6,19.92,89.36,114.9
1,4,1,1,1,7,2,9,5,18.85,36.88,38.0
0,3,1,2,1,18,1,15,4,11.82,108.73,143.4
0,2,1,1,1,41,1,18,1,8.14,202.15,240.0
0,2,0,1,1,19,2,9,6,6.28,36.6,39.0
0,1,1,1,0,18,5,18,2,10.87,31.78,40.1
0,2,0,1,2,4,2,12,2,6.9,10.83,12.9
0,2,1,1,2,2,2,12,5,11.61,12.65,14.5
0,2,0,1,1,37,5,11,1,6.31,28.52,31.6
0,2,0,2,0,37,1,12,3,9.47,212.82,215.0
0,3,1,1,1,24,5,17,1,8.27,22.41,30.9
0,1,1,1,1,33,5,17,0,9.87,47.97,58.8
1,1,1,1,0,39,1,9,5,22.14,611.55,240.0
1,1,0,1,1,20,6,9,1,13.87,32.69,33.9
0,3,1,2,1,2,4,9,2,13.01,3.93,8.6
1,1,1,3,1,33,4,16,3,25.53,149.17,151.1
1,1,1,1,1,16,4,18,3,18.18,70.29,84.5
0,1,0,2,1,8,1,16,3,6.81,42.24,43.9
1,2,1,2,1,8,2,15,5,21.71,58.71,80.4
2,2,0,1,0,34,2,15,5,31.02,323.91,240.0
1,1,0,1,1,28,2,14,3,13.07,132.06,175.6
0,2,0,1,2,18,1,9,1,6.61,73.78,75.1
1,3,0,1,1,41,3,15,6,13.81,216.24,240.0
0,3,1,1,2,43,1,15,5,11.35,244.68,240.0
1,1,1,1,1,15,2,18,5,15.45,135.62,162.9
2,3,0,1,0,23,1,16,0,26.26,305.24,240.0
1,1,1,1,1,0,1,14,6,16.8,5.82,9.9
2,3,0,3,0,6,5,12,1,35.0,31.4,33.3
0,3,0,2,2,34,5,10,1,8.9,30.41,28.1
2,2,1,2,2,20,3,18,2,35.0,155.56,188.6
1,1,1,1,1,30,3,9,1,19.12,139.36,141.3
0,3,0,1,1,25,4,11,3,6.34,19.99,23.0
1,1,0,3,1,26,2,16,0,21.77,203.71,227.3
0,4,0,1,1,43,1,13,4,6.6,113.67,150.0
0,3,1,1,1,42,3,12,3,10.08,74.56,77.9
1,3,1,1,0,37,4,18,5,19.9,97.36,118.4
0,3,1,1,1,9,6,16,6,10.78,8.44,9.3
1,1,0,1,1,32,2,10,4,12.93,146.95,161.4
0,5,1,1,0,44,6,13,6,9.3,23.29,36.2
0,4,1,1,1,0,5,18,2,8.47,6.26,12.8
2,2,0,2,0,26,2,17,3,32.74,361.71,240.0
0,3,1,2,0,41,1,15,6,13.48,276.8,240.0
1,3,0,1,1,38,6,15,4,12.64,45.41,62.0
1,3,0,3,2,37,3,14,4,29.96,190.5,240.0
1,1,0,1,1,17,4,9,1,12.65,39.26,38.8
2,2,0,3,1,44,5,18,5,35.0,194.93,233.1
1,3,1,1,2,23,5,12,3,21.37,56.34,57.7
0,3,1,1,1,10,4,12,4,9.5,15.41,20.3
2,2,1,1,0,41,4,14,4,29.88,193.4,240.0
0,2,1,1,2,6,4,18,2,13.64,16.82,23.1
1,5,0,2,1,10,2,11,2,18.67,32.94,35.3
2,2,0,2,1,12,2,10,2,33.77,145.7,144.3
1,3,0,2,1,35,3,18,5,15.21,92.83,113.4
1,2,0,1,1,30,4,10,0,16.05,74.45,85.9
1,2,0,1,1,14,4,17,2,12.53,30.62,36.1
1,2,1,3,1,21,1,15,4,22.81,292.49,240.0
2,3,0,1,2,24,4,14,2,35.0,114.44,149.8
0,5,1,1,2,41,3,11,1,13.25,52.64,57.1
0,1,1,1,1,1,5,16,4,9.43,2.46,3.3
0,4,0,3,1,5,5,10,2,8.94,3.68,3.9
1,2,0,1,1,0,4,9,0,14.67,2.0,2.0
0,1,1,1,2,40,6,9,4,12.47,58.52,67.3
0,3,1,1,1,8,2,16,4,9.81,24.55,29.6
0,2,1,4,1,13,4,16,2,17.11,35.68,35.8
2,4,1,1,2,8,2,12,0,35.0,64.65,77.7
1,1,0,1,2,12,2,17,3,18.07,81.78,94.7
0,3,0,1,2,33,3,14,4,6.64,40.09,53.8
0,2,0,1,0,15,4,15,6,6.84,19.07,25.1
0,1,0,2,1,26,3,17,3,7.93,61.55,76.2
0,1,0,1,1,5,4,18,2,5.19,6.32,8.9
0,2,1,2,1,14,6,14,0,12.26,20.99,28.7
2,2,1,2,2,23,5,12,0,35.0,107.23,124.6
2,1,1,1,1,18,5,15,2,28.73,81.48,109.2
0,1,0,1,1,32,3,12,2,6.15,49.3,46.5
0,2,1,4,1,17,3,12,6,19.1,71.46,75.8
0,3,0,1,1,40,6,13,2,5.55,20.64,26.8
0,4,1,1,1,33,5,15,0,10.33,30.5,45.0
0,2,1,2,0,29,4,12,1,12.46,59.26,65.0
0,2,0,1,1,32,5,12,5,6.67,27.62,28.5
0,5,1,2,1,43,4,17,5,13.06,137.24,163.0
1,5,0,2,0,16,5,16,0,20.34,18.98,23.3
1,1,0,1,2,7,1,10,2,18.1,140.42,140.0
1,2,1,3,0,35,4,11,3,24.67,131.3,135.3
0,3,1,1,1,5,3,12,1,9.06,11.44,11.2
2,3,0,2,2,25,4,9,3,35.0,109.02,112.2
2,3,1,3,1,42,4,16,0,35.0,190.37,216.9
0,2,0,1,1,37,5,17,5,6.47,30.71,37.2
0,2,0,1,0,41,2,16,0,6.87,88.15,99.8
1,3,1,1,1,25,6,12,4,15.93,37.49,46.5
0,1,1,1,0,40,6,9,0,11.41,54.21,62.8
0,2,0,1,0,11,4,13,4,6.21,12.74,17.3
1,2,1,1,1,6,5,16,0,16.46,13.49,18.6
1,3,1,2,1,6,5,16,2,24.38,15.17,19.0
0,2,0,1,1,20,3,12,4,5.69,25.73,30.5
1,2,1,1,1,44,4,15,2,18.3,125.42,168.4
2,1,0,2,1,41,1,11,0,30.18,877.51,240.0
0,3,1,2,1,23,6,16,0,13.38,28.63,35.0
1,3,1,1,2,27,2,9,2,18.66,127.6,129.2
0,3,1,1,1,36,1,13,1,8.75,157.17,209.8
0,1,1,1,2,28,2,11,6,10.65,108.83,112.3
1,2,1,1,0,17,5,14,2,21.17,49.41,63.2
0,1,1,3,1,8,4,10,0,13.36,19.42,27.3
0,3,1,1,1,20,3,13,4,8.28,30.61,43.7
0,2,1,4,0,28,4,12,2,15.61,70.88,73.8
1,3,1,3,2,37,1,13,6,31.36,580.52,240.0
1,1,0,3,1,15,1,10,0,19.88,1196.78,240.0
0,2,1,1,1,25,6,15,0,10.38,29.57,41.8
1,1,1,1,1,27,3,15,1,18.23,122.32,163.4
0,2,0,1,0,31,6,15,3,5.93,20.8,28.5
1,2,1,2,1,4,1,16,1,24.0,65.22,66.1
0,2,0,1,1,11,6,10,4,6.68,7.55,7.1
1,1,0,1,1,3,4,14,6,15.26,14.92,18.4
2,1,1,2,2,30,2,11,2,35.0,401.8,240.0
2,3,1,3,1,29,5,17,6,35.0,110.06,132.7
0,4,1,1,1,9,1,16,0,10.58,52.48,61.2
2,3,1,1,1,4,5,18,0,27.48,20.01,27.1
0,4,0,1,1,32,5,14,0,5.45,16.59,24.4
2,4,0,4,1,23,4,9,3,35.0,78.93,79.3
0,2,0,2,1,43,4,16,3,7.04,45.56,48.8
0,3,1,2,1,1,2,18,6,10.85,7.09,12.5
0,2,0,1,1,6,4,11,4,5.28,5.02,4.0
0,4,0,1,1,6,1,12,1,5.54,16.62,17.3
1,2,1,2,0,24,5,17,4,21.97,107.92,129.1
2,3,1,1,1,12,6,15,3,28.32,38.47,53.3
1,1,1,2,2,18,6,15,3,30.3,73.25,98.6
1,2,1,4,0,29,5,9,3,33.62,119.94,124.4
1,3,1,1,1,6,6,17,1,16.5,13.2,19.2
0,1,0,2,1,4,5,15,3,8.25,7.4,12.2
0,1,0,1,1,33,1,9,2,6.32,148.98,151.8
0,3,1,1,2,27,1,15,1,13.51,184.37,240.0
0,2,1,1,0,22,1,15,5,10.77,145.84,192.0
0,2,1,3,0,15,2,10,2,13.89,65.41,75.5
0,2,1,1,1,3,2,17,1,8.93,10.83,15.5
0,1,1,1,1,11,1,13,5,8.19,66.09,88.5
0,1,1,2,1,37,4,11,4,10.38,68.53,79.2
2,5,1,1,1,13,6,18,6,32.59,51.88,65.9
0,2,1,2,2,37,6,13,1,12.68,50.36,65.7
1,1,1,1,2,2,4,9,2,19.64,12.14,17.6
1,1,0,1,1,17,5,13,6,16.05,44.36,59.0
1,1,0,3,1,17,6,11,5,18.23,38.12,36.6
0,2,1,2,1,9,1,16,1,12.16,70.77,75.3
0,2,0,1,1,15,6,14,1,5.96,11.31,14.0
0,2,0,1,1,40,2,14,3,6.01,74.46,98.5
0,3,1,2,1,43,3,11,2,12.3,88.96,92.9
0,2,1,4,1,37,1,13,6,14.71,330.56,240.0
1,2,0,4,1,7,4,17,3,21.21,28.86,31.3
1,3,1,1,2,8,6,13,4,23.43,23.15,34.3
1,4,1,2,1,35,4,12,1,22.18,83.79,86.4
0,2,1,4,2,27,2,11,0,18.1,148.23,167.2
0,1,0,2,2,25,3,17,1,10.38,64.35,80.3
1,2,0,1,1,19,2,10,4,13.5,78.4,86.5
0,2,0,1,2,27,6,10,4,8.28,24.13,26.8
1,1,1,2,1,35,6,18,3,21.64,95.45,121.1
1,1,1,2,0,12,2,10,4,22.19,99.04,114.3
0,4,0,1,1,22,2,15,5,5.73,112.46,147.5
0,3,1,1,1,7,6,11,6,9.29,6.92,7.4
0,1,0,2,1,28,5,10,2,7.99,32.48,36.6
0,2,0,1,1,12,4,16,6,5.57,12.0,14.0
0,1,1,2,2,11,5,11,6,13.11,24.1,23.6
0,1,1,4,1,13,4,9,1,17.26,46.35,47.4
0,2,0,4,1,9,6,16,0,9.67,10.36,14.4
1,2,0,1,0,17,2,11,3,15.7,83.24,84.6
1,5,0,2,1,20,2,12,2,18.56,59.67,59.5
0,3,0,1,1,22,4,13,3,5.91,18.0,26.9
2,1,0,1,0,1,5,13,0,26.91,12.2,14.7
2,2,1,1,2,21,6,9,6,35.0,73.64,74.4
2,2,1,2,1,26,2,18,4,35.0,281.87,240.0
1,1,1,1,1,24,1,17,2,16.18,321.91,240.0
0,3,1,1,0,10,2,13,0,9.28,26.56,38.3
0,1,1,1,1,29,1,12,0,8.26,170.39,195.5
1,1,0,1,2,25,1,10,0,19.47,555.3,240.0
1,2,1,3,1,19,3,14,5,22.64,93.0,123.4
1,1,0,2,1,19,2,17,0,17.02,118.34,141.8
2,2,1,2,2,6,3,15,5,35.0,52.54,69.8
1,4,1,1,1,23,4,9,1,17.05,39.97,40.8
0,3,0,1,1,5,5,11,0,6.23,3.26,2.6
0,3,1,2,1,35,3,9,2,10.2,59.06,62.8
0,2,1,3,1,31,3,16,5,12.34,79.33,83.2
1,2,1,1,1,21,3,9,5,18.88,88.95,94.8
1,2,1,2,1,22,5,13,3,21.75,65.33,83.2
1,3,1,1,2,28,4,18,6,20.5,77.84,92.2
1,2,1,1,1,42,6,14,2,19.61,89.69,116.4
2,2,1,1,1,28,3,18,4,28.22,175.79,209.4
1,1,1,1,1,6,6,9,6,17.03,15.61,17.2
1,3,0,4,1,12,2,17,5,24.07,746.07,240.0
0,3,0,1,2,6,2,17,1,7.54,14.66,15.0
2,1,0,2,1,30,1,18,5,33.13,708.62,240.0
1,3,1,1,0,24,6,14,2,19.0,43.6,58.8
0,4,0,1,1,35,2,17,6,6.0,42.66,51.8
0,1,0,1,1,0,3,13,1,5.9,3.75,5.0
2,2,0,1,1,35,1,10,4,27.48,582.2,240.0
0,4,1,1,2,1,1,16,1,10.82,9.76,14.7
0,2,0,1,2,6,5,16,4,8.03,6.48,6.6
0,3,1,2,2,16,5,18,3,14.57,29.99,41.4
1,1,1,1,2,35,1,13,1,20.78,516.78,240.0
1,1,0,1,1,38,4,11,0,14.14,95.83,113.0
0,1,1,1,1,38,3,16,5,8.62,78.87,82.7
0,5,1,1,0,16,2,14,3,11.2,30.42,43.0
2,1,1,1,1,10,5,18,0,29.4,51.22,64.3
1,4,1,2,1,10,2,11,5,23.33,50.5,54.7
2,2,1,3,1,28,6,9,1,35.0,99.38,99.7
0,1,1,1,1,40,6,15,2,8.3,42.15,58.0
0,1,1,2,1,21,3,11,5,11.96,60.54,61.8
0,2,1,4,1,35,2,13,6,19.02,204.13,240.0
1,1,1,2,1,29,6,16,5,22.72,78.15,76.6
0,4,0,1,1,18,6,13,3,5.88,9.5,16.5
0,4,0,1,2,38,4,14,2,7.06,29.32,39.0
0,1,0,2,2,32,2,17,1,9.61,110.59,132.7
0,3,1,1,1,23,5,13,3,8.83,23.41,37.8
1,2,0,1,1,1,1,11,4,12.67,18.85,22.9
0,5,1,1,1,21,3,11,1,8.97,21.01,22.5
1,1,1,1,0,17,6,12,4,16.7,39.74,48.1
2,2,1,1,0,13,2,11,4,30.81,132.64,151.2
0,1,0,1,1,2,4,13,4,5.85,4.83,3.9
1,3,1,1,1,24,1,17,6,19.92,241.37,240.0
2,1,0,1,1,45,5,18,3,28.15,191.05,228.7
2,2,0,1,1,33,2,9,5,25.49,275.57,240.0
0,4,1,1,2,43,4,15,5,11.76,111.03,145.8
0,2,0,2,2,28,3,18,6,8.51,49.86,63.6
0,2,0,1,0,17,4,17,6,6.95,26.13,30.2
1,2,1,1,2,19,1,12,6,20.75,241.09,240.0
1,2,0,3,0,23,4,9,6,22.35,78.93,78.7
1,2,1,3,0,44,3,11,4,25.02,223.31,240.0
0,2,1,1,1,31,5,12,3,9.25,38.21,41.9
0,5,0,1,1,21,2,12,3,5.47,19.22,20.2
1,1,1,3,1,13,2,15,3,23.41,114.95,153.1
0,1,1,1,1,32,1,10,6,9.36,213.36,216.2
1,1,1,3,2,24,2,10,6,30.11,264.73,240.0
0,2,1,1,1,32,6,16,2,9.62,32.67,35.2
0,1,0,1,1,12,1,15,1,6.07,53.9,72.9
0,4,1,2,1,3,5,17,2,10.76,5.94,9.6
0,2,1,2,2,35,2,16,4,14.57,165.1,185.8
0,4,1,1,1,12,2,12,3,10.49,29.16,35.5
0,2,1,2,1,41,2,18,2,12.35,167.27,198.4
0,1,0,1,0,19,5,11,5,5.71,16.78,18.4
0,1,1,2,0,4,2,13,0,11.9,21.44,33.2
0,2,1,1,1,9,2,18,4,8.72,32.34,41.8
1,1,1,1,2,22,1,16,2,20.61,323.71,240.0
0,3,0,3,1,32,4,9,4,9.41,38.31,39.4
1,3,0,1,2,22,1,15,3,19.3,215.13,240.0
1,3,1,1,2,40,2,11,4,20.82,209.99,235.9
1,4,1,4,0,3,4,18,1,30.09,18.19,23.4
2,2,1,4,1,4,1,16,3,35.0,97.18,102.0
0,2,0,1,1,31,6,18,0,5.83,20.59,27.7
1,2,0,3,2,38,3,13,5,29.07,229.05,240.0
2,1,1,1,2,34,3,18,3,35.0,288.96,240.0
2,2,0,1,0,32,3,12,4,27.56,183.31,206.8
0,2,0,4,0,39,1,10,0,11.45,280.13,240.0
0,3,1,2,0,30,1,9,2,14.26,239.36,240.0
0,2,0,1,1,21,5,16,3,6.79,17.65,18.4
1,1,0,1,1,10,1,12,5,15.87,116.3,119.5
1,2,1,1,0,9,4,10,0,19.51,28.65,39.7
0,3,1,2,2,42,5,18,6,13.17,59.26,70.4
1,5,1,1,1,17,1,16,4,18.01,134.63,153.6
1,1,1,1,1,23,5,11,2,19.62,65.2,68.4
0,3,1,2,2,7,6,17,5,13.48,12.64,19.5
2,2,1,1,1,3,6,13,2,35.0,23.08,34.6
1,1,1,1,0,6,5,13,3,18.52,21.93,31.9
0,3,0,1,0,18,3,14,1,7.08,25.0,32.8
1,1,1,1,1,31,6,9,4,19.29,70.59,80.5
0,3,1,1,2,25,4,10,1,10.13,31.47,37.8
1,3,0,1,1,5,1,15,2,14.04,40.87,56.8
2,3,1,1,1,19,3,17,2,31.49,108.31,134.8
2,1,1,1,1,24,1,16,4,30.44,522.87,240.0
0,4,1,1,1,6,2,18,2,9.05,13.22,18.2
0,4,1,1,1,13,4,11,0,8.52,12.69,19.0
0,4,1,1,1,5,1,10,5,8.47,28.62,32.6
1,2,0,2,2,32,6,16,3,24.69,78.78,79.0
0,2,1,1,0,0,1,13,4,9.1,3.39,7.1
1,1,0,1,1,3,4,17,0,15.47,22.56,30.1
0,1,1,1,1,1,1,13,2,9.4,10.59,17.6
0,1,0,2,1,37,1,18,6,8.41,243.51,240.0
0,2,1,1,2,41,4,14,0,10.17,66.55,86.1
2,2,1,1,1,44,6,9,2,32.32,148.9,151.6
1,2,0,4,0,13,2,16,5,27.53,113.91,119.6
0,2,0,1,1,30,3,18,6,5.12,34.08,40.9
0,4,0,1,1,45,5,10,1,5.8,21.39,21.0
1,4,1,3,2,26,4,12,2,31.27,87.81,91.0
0,3,0,2,1,43,2,18,0,8.59,93.96,113.4
